,Site Name,Campaign Name,Contract Number,Title Name,Personnel Name,Contract Date,Close Date,Contract Info,Membership,Points,Club Name,Contract Status,Sales Volume USD,IDP,Closing Cost Charge USD,Closing Cost Paid USD,Applied IDP,IDP Percent,Unlimited Pack,Pack,Funded Interest,Desc TDC,Annuity,Rentsure Inscription,Unlimited Ccost,Finance Charge,Incentive,Comission Volume,IVA,Comission Volume Sin IVA,Mortgage Exchange Rate,SRExchange Rate,Flat Amount,Comision %,Comission Amount,Charger Back,Comisión - Charger Back,Anticipos o Descuentos,Comision Total a Pagar,Comentarios
164,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,VLO,Rivas Rodriguez Santiago,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,10.0,0.0,198.79999999999998,,198.79999999999998,,198.79999999999998,
165,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,VLO,Rivas Rodriguez Santiago,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,15.0,0.0,270.0,,270.0,,270.0,
166,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,VLO,Rivas Rodriguez Santiago,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,15.0,0.0,270.0,,270.0,,270.0,
167,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,VLO,Rivas Rodriguez Santiago,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,7.5,0.0,135.0,,135.0,,135.0,
168,SR MX Park Royal Acapulco,Socios RHC,9-706863,VLO,Rivas Rodriguez Santiago,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,7.5,0.0,135.0,,135.0,,135.0,
169,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,VLO,Rivas Rodriguez Santiago,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,20.0,0.0,360.0,,360.0,,360.0,
170,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,VLO,Rivas Rodriguez Santiago,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,20.0,0.0,360.0,,360.0,,360.0,
171,SR MX Park Royal Acapulco,Socios RHC,9-706925,VLO,Rivas Rodriguez Santiago,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,15.0,0.0,299.25,,299.25,,299.25,
172,SR MX  Park Royal Acapulco,,Charger Back,VLO,Rivas Rodriguez Santiago,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,117.31,-117.31,,-117.31,CHARGER BACK 1 QUIN JUNIO
174,SR MX Park Royal Acapulco,Socios RHC,9-706627,Liner,Rodríguez Hernández Stephanie Lissettee,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,1.0,1395.9396,,1395.9396,,1395.9396,
175,SR MX Park Royal Acapulco,Socios RHC,9-706863,Liner,Rodríguez Hernández Stephanie Lissettee,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,1.0,1396.9997999999998,,1396.9997999999998,,1396.9997999999998,
176,SR MX Park Royal Acapulco,Socios RHC,9-706830,Liner,Rodríguez Hernández Stephanie Lissettee,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,1.333,1861.5552948,,1861.5552948,,1861.5552948,
177,SR MX  Park Royal Acapulco,,Charger Back,Liner,Rodríguez Hernández Stephanie Lissettee,,,,,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,465.45,-465.45,,-465.45,CHARGER BACK 1 QUIN JUNIO
179,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,OPC,Rojas Gonzalez Mayra,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,0.625,1293.2273719937502,,1293.2273719937502,,1293.2273719937502,CDP´S
181,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Closer,Romero Beltran Guillermo Jose,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,41.66,0.0,749.8799999999999,,749.8799999999999,,749.8799999999999,
182,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Closer,Romero Beltran Guillermo Jose,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
183,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,Closer,Romero Beltran Guillermo Jose,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
185,SR MX Park Royal Acapulco,Socios RHC,9-706609,Sup. OPC,Rosas Valdez Alejandra,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,0.5,1075.3434,,1075.3434,,1075.3434,
186,SR MX Park Royal Acapulco,Socios RHC,9-706627,Sup. OPC,Rosas Valdez Alejandra,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,0.5,697.9698,,697.9698,,697.9698,
187,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,Sup. OPC,Rosas Valdez Alejandra,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,0.0,0.5,2056.552204,,2056.552204,,2056.552204,
188,SR MX Park Royal Acapulco,Socios RHC,9-706863,Sup. OPC,Rosas Valdez Alejandra,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,0.5,698.4998999999999,,698.4998999999999,,698.4998999999999,
189,SR MX Park Royal Acapulco,Socios RHC,9-706645,Sup. OPC,Rosas Valdez Alejandra,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,1.0,2377.891369,,2377.891369,,2377.891369,
190,SR MX Park Royal Acapulco,Socios RHC,9-706632,Sup. OPC,Rosas Valdez Alejandra,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,0.0,0.5,1016.711862,,1016.711862,,1016.711862,
191,SR MX Park Royal Acapulco,Socios RHC,9-706830,Sup. OPC,Rosas Valdez Alejandra,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,1.0,1396.5156,,1396.5156,,1396.5156,
192,SR MX Park Royal Acapulco,Socios RHC,9-706925,Sup. OPC,Rosas Valdez Alejandra,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,1.0,1078.6685699999998,,1078.6685699999998,,1078.6685699999998,
193,SR MX  Park Royal Acapulco,Bronces Aca,9-702903,Sup. OPC,Rosas Valdez Alejandra,2020-12-21,2021-01-05,Original,SLVR,15000.0,Swiss Club,Current Owner,12692.0,1903.8,520.0,520.0,1586.466,0.274997,0.0,0.0,-500,0,0.0,0.0,0.0,-300.0,0.0,11892.0,1.16,10251.7241,19.95,19.95,0.0,0.5,1022.609478975,,1022.609478975,,1022.609478975,CDP´S
195,SR MX Park Royal Acapulco,Calle 450,9-706665,Closer,Ruiz Castañeda Edna Laura,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
196,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,Closer,Ruiz Castañeda Edna Laura,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,0.0,3.25,13367.589326,,13367.589326,,13367.589326,
197,SR MX Park Royal Acapulco,Socios RHC,9-706645,Closer,Ruiz Castañeda Edna Laura,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,3.5,8322.6197915,,8322.6197915,,8322.6197915,
198,SR MX Park Royal Acapulco,Socios RHC,9-706632,Closer,Ruiz Castañeda Edna Laura,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,0.0,3.0,6100.271172,,6100.271172,,6100.271172,
199,SR MX  Park Royal Acapulco,,Charger Back,Closer,Ruiz Castañeda Edna Laura,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2779.05,-2779.05,,-2779.05,CHARGER BACK 1 QUIN JUNIO
201,SR MX Park Royal Acapulco,Socios RHC,9-706609,Closer,Sanchez Santiago Jonathan Efrain,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,1.5,3226.0301999999997,,3226.0301999999997,,3226.0301999999997,
202,SR MX  Park Royal Acapulco,,Charger Back,Closer,Sanchez Santiago Jonathan Efrain,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,322.6,-322.6,,-322.6,CHARGER BACK 1 QUIN JUNIO
204,SR MX Park Royal Acapulco,Calle 450,9-706542,Closer,Santos Cedomio Gean Carlo,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
205,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Closer,Santos Cedomio Gean Carlo,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,41.66,0.0,749.8799999999999,,749.8799999999999,,749.8799999999999,
206,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Closer,Santos Cedomio Gean Carlo,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
207,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Closer,Santos Cedomio Gean Carlo,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
208,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,Closer,Santos Cedomio Gean Carlo,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,75.0,0.0,1350.0,,1350.0,,1350.0,
209,SR MX  Park Royal Acapulco,,Charger Back,Closer,Santos Cedomio Gean Carlo,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,524.99,-524.99,,-524.99,CHARGER BACK 1 QUIN JUNIO
211,SR MX Park Royal Acapulco,Socios RHC,9-706609,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,2.0,4301.3736,,4301.3736,,4301.3736,
212,SR MX Park Royal Acapulco,Socios RHC,9-706627,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,2.0,2791.8792,,2791.8792,,2791.8792,
213,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
214,SR MX Park Royal Acapulco,Calle 450,9-706665,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
215,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,0.0,2.0,8226.208816,,8226.208816,,8226.208816,
216,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,2.0,5935.6548,,5935.6548,,5935.6548,
217,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,2.0,3693.1032,,3693.1032,,3693.1032,
218,SR MX Park Royal Acapulco,Socios RHC,9-706863,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,2.0,2793.9995999999996,,2793.9995999999996,,2793.9995999999996,
219,SR MX Park Royal Acapulco,Socios RHC,9-706645,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,2.0,4755.782738,,4755.782738,,4755.782738,
220,SR MX Park Royal Acapulco,Socios RHC,9-706632,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,0.0,2.0,4066.847448,,4066.847448,,4066.847448,
221,SR MX Park Royal Acapulco,Socios RHC,9-706830,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,2.0,2793.0312,,2793.0312,,2793.0312,
222,SR MX Park Royal Acapulco,Socios RHC,9-706925,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,2.0,2157.3371399999996,,2157.3371399999996,,2157.3371399999996,
223,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Dir. Comercial,Sierra de Berbera S.A. de C.V.,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,2.0,3693.1032,,3693.1032,,3693.1032,
225,SR MX Park Royal Acapulco,Calle 450,9-706542,Closer,Soriano Casco José De Jesús,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
226,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,Closer,Soriano Casco José De Jesús,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
227,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Closer,Soriano Casco José De Jesús,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,31.25,0.0,562.5,,562.5,,562.5,
229,SR MX Park Royal Acapulco,Calle 450,9-706542,Sup. OPC,Terrones Garcia Ricardo Gilberto,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,10.0,0.0,180.0,,180.0,,180.0,
231,SR MX Park Royal Acapulco,Socios RHC,9-706627,Liner,Tirado Gómez Jesús Armando,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,1.0,1395.9396,,1395.9396,,1395.9396,
232,SR MX Park Royal Acapulco,Socios RHC,9-706645,Liner,Tirado Gómez Jesús Armando,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,2.0,4755.782738,,4755.782738,,4755.782738,
233,SR MX Park Royal Acapulco,Socios RHC,9-706830,Liner,Tirado Gómez Jesús Armando,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,1.333,1861.5552948,,1861.5552948,,1861.5552948,
234,SR MX  Park Royal Acapulco,,Charger Back,Liner,Tirado Gómez Jesús Armando,,,,Swiss Club,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,  ,CHARGERBACK  2 QUIN ENERO,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.33,-801.33,,-801.33,CHARGER BACK 1 QUIN JUNIO
236,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
237,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
238,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,10.0,0.0,180.0,,180.0,,180.0,
239,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,0.5,923.2758,,923.2758,,923.2758,
240,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
241,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
242,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,10.0,0.0,180.0,,180.0,,180.0,
